Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn_Prediction,Usage_Category,Churn_Probability,Recommended_Products,Top_10_Features,tenure
997-5798,409,0,447.4,448,58.64,458.4,94,44.96,485.5,74,8.46,8.9,4,4.4,5,0,0,0.33718358,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",30
766-7995,64,0,448.7,409,44.48,440,448,48.7,465.7,78,44.96,45.4,4,5.56,4,1,0,0.644473038,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",53
799-8895,440,58,456.5,404,40.47,495.9,444,46.65,485.5,84,8.46,9.7,6,4.64,4,0,0,0.123410437,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",39
768-5587,46,0,405.6,69,54.95,469.5,95,44.44,440.4,64,9.9,40.9,5,4.94,0,0,0,0.232006268,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",9
768-6789,75,0,94.4,456,46,480.5,444,45.85,405,77,9.45,9.8,4,4.65,0,0,0,0.219855797,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",39
759-5898,448,0,445.4,99,44.48,405.4,407,47.46,454.4,444,44.45,48.9,4,5.4,0,0,0,0.402442226,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",8
775-5965,59,0,60.4,458,40.47,506.4,440,46.05,445.9,46,5.58,44.4,5,5.55,4,0,0,0.212590052,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",51
789-9996,405,48,444,405,40.57,470.4,400,44.98,460.5,76,7.44,7.7,4,4.08,4,0,0,0.232529875,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",71
759-7555,449,49,447.8,66,40.05,456.8,444,44.85,447.6,76,6.64,7.6,5,4.05,5,0,0,0.199256962,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",71
767-5899,475,44,454.4,96,59.54,444.9,448,48.04,475,404,44.49,5,5,4.55,5,0,0,0.119443715,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",70
997-9569,448,54,445.5,84,58,488.8,74,46.05,454.9,404,6.97,9.4,4,4.54,4,0,0,0.473548834,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",1
778-7987,86,0,476.5,79,49.97,459.4,97,44.05,487.4,78,44.95,6.4,5,4.67,0,0,0,0.34718273,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",38
987-7775,444,54,445.4,79,44.48,477.8,405,45.44,454.4,89,40.46,44.9,5,5.48,4,0,0,0.166056504,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",28
768-5979,404,0,458.7,407,45.58,456.9,445,44.84,454.9,74,40.57,40,5,4.7,0,0,0,0.524070909,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",32
799-7799,448,0,86.5,454,44.67,446.6,94,40.96,454.6,94,44.54,44.5,4,5.05,4,0,0,0.277665443,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",49
789-5675,449,0,407,94,55.49,454.9,444,45.47,445.4,444,44.05,45.4,5,5.64,5,0,0,0.273786294,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",37
759-8966,400,50,58.8,404,40,449.5,407,48.66,454.5,448,6.85,7.4,5,4.94,0,0,0,0.123662712,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",10
779-8989,444,55,68.7,95,44.68,409.4,69,47.78,497.4,44,8.88,44.4,4,5.08,4,0,0,0.137731882,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",67
759-5968,445,55,459.4,409,40.66,455.5,444,40.04,456.5,95,7.05,9.5,4,4.57,4,0,0,0.271818892,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",7
778-9877,76,0,498.5,450,55.74,447.4,86,48.45,488.4,96,8.48,44.5,5,5.58,0,0,0,0.308154282,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",51
765-5799,458,0,405.4,97,54.88,440.6,77,40.45,79.7,408,5.59,44.4,44,5.89,0,0,0,0.160678645,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",9
778-8978,446,0,494.4,98,54.66,544.9,455,46.6,450.4,94,5.86,7.9,4,4.45,5,0,0,0.255625744,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",9
787-5957,54,0,474.6,85,46.54,448.7,74,44.44,497.4,444,8.88,9.5,4,4.57,4,0,0,0.517953681,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",4
788-7977,86,0,448.5,444,44.84,497.4,95,46.75,458.4,454,6.45,44.4,5,5.49,7,0,0,0.621504773,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",71
765-8779,408,0,469.6,99,48.85,464.4,87,44.45,406.5,78,9.48,9.5,4,4.54,0,0,0,0.397229616,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",50
987-5758,66,0,404.5,95,54.44,454.8,66,44.99,455.4,404,40.49,7.5,4,4.05,4,0,0,0.266596951,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",24
796-8565,454,47,444.7,97,56.5,458.5,90,44.77,469.4,44,7.64,8.6,4,4.54,4,0,0,0.178457129,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",22
797-9789,99,0,469.4,70,48.76,474.5,77,45.08,470.4,404,7.66,40.6,4,4.86,0,0,0,0.430937816,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",44
777-5699,55,0,494.4,444,55,476.6,440,45.04,504.8,456,45.65,7,7,4.89,4,0,0,0.293182017,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",33
989-8899,77,0,455.8,404,59.75,466.5,94,44.65,444.7,404,9.57,7.6,5,4.05,4,0,0,0.373640317,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",1
776-5986,78,0,445.4,67,58.47,499.4,447,46.95,475.5,404,7.9,44.6,4,5.94,0,0,0,0.300650903,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",54
797-6998,89,0,445,65,56.44,476.6,74,45.04,464.6,446,44.84,9.4,4,4.46,4,0,0,0.40030859,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",42
769-9957,404,0,485.9,445,54.46,455.9,404,44.75,475,445,44.58,40.8,44,4.94,4,0,0,0.282284603,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",1
758-6679,44,54,444.8,405,57.74,464.7,85,45.74,447.7,64,40.45,44,7,5.78,0,0,0,0.132259111,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",1
776-9788,98,44,64.6,98,40.98,476.4,86,44.97,444.8,84,44.04,0,0,0,4,0,0,0.045223732,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",30
799-6567,64,57,454.6,94,46.48,85.4,405,7.09,465.9,99,7.47,45.5,5,5.59,4,0,0,0.144274753,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",1
777-7799,444,0,460.4,454,44.45,479.4,440,45.45,455,449,6.08,7.4,8,4.94,5,0,0,0.210399103,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",16
988-6889,84,55,464.6,447,47.47,445,90,40.46,464.5,404,44.76,44.4,5,5.49,4,0,0,0.233778307,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",1
775-5965,464,0,440.6,447,57.5,455.4,444,45.49,486.7,89,8.4,40.5,44,4.84,4,0,0,0.135948341,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",9
988-6999,85,44,455.9,444,46.5,464.5,407,45.8,447.6,405,5.74,45.4,5,5.54,5,0,0,0.400758065,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",46
958-7857,400,0,407,65,48.49,405.7,67,8.98,445.4,74,40.94,44.8,5,5.46,4,1,0,0.53986164,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",1
766-5599,59,0,484.5,404,54.05,404.7,95,47.4,449.9,400,40.55,44.5,8,5.05,4,0,0,0.203882857,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",71
997-7995,479,58,440.4,78,57.44,454.5,74,49.94,457.5,85,40.68,40.4,4,4.75,4,0,0,0.087577207,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",43
986-5755,79,0,454.4,444,45.87,477.4,454,45.06,96.4,87,4.54,5.5,5,4.45,4,0,0,0.165142195,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",50
777-8878,447,0,484.5,95,50.86,405.4,88,47.45,404,84,9.48,44.7,9,5.97,4,0,0,0.26928342,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",13
985-9995,64,0,456.4,77,40.45,448.6,85,48.58,494.4,97,8.75,45.4,4,5.56,4,0,0,0.677288401,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",19
779-7997,54,0,466.4,405,48.44,79.5,95,6.74,445.7,98,9.64,44.7,4,5.45,4,0,0,0.213812721,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",41
797-6779,444,0,444.6,89,44.58,488.8,80,46.05,406,444,9.47,44.5,4,5.05,4,0,0,0.338679383,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",1
785-8778,444,45,454.4,85,44.84,447.5,454,49.54,444.4,96,5.54,8.5,4,4.5,4,0,0,0.182440582,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",24
797-7895,57,59,449.7,444,45.45,444.4,75,47.94,444.5,90,5.44,9.4,4,4.48,4,0,0,0.120201738,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",40
987-6798,90,49,450.4,409,45.54,464.7,405,44.5,478.4,97,8.05,5.8,4,4.57,4,0,0,0.278661227,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",3
799-9967,459,0,457.4,55,45.74,544.4,447,46.54,485,84,8.44,8.8,6,4.58,4,0,0,0.526088478,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",37
759-5587,448,0,444.4,85,44.45,479.7,84,45.47,455,99,44.59,44.5,6,5.05,0,0,0,0.299424353,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",67
959-9755,59,56,444.7,444,44.09,454.5,445,49.75,444.4,454,9.99,44,5,5.44,4,0,0,0.1954287,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",32
756-9889,77,0,450,87,59.4,405.4,458,8.77,509.6,456,45.95,44.5,5,5.05,4,0,0,0.207433216,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",6
758-9869,494,0,464.5,88,47.59,445.7,448,48.46,494.4,84,8.64,40.9,4,4.94,0,0,0,0.270875674,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",32
797-5789,454,0,550.8,75,59.64,446.5,94,48.4,455.9,400,44.45,40.4,9,4.75,4,0,0,0.750330236,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",59
779-9875,444,0,495.5,96,54.86,464.4,445,44.45,448.6,445,5.79,9.4,5,4.46,4,0,0,0.293727047,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",30
758-9898,45,0,78.4,447,45.49,455.4,408,44.54,455,400,44.48,48,5,4.86,4,0,0,0.267329058,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",20
769-7599,454,0,85.4,440,44.48,454.4,457,49.74,446.7,444,6.6,7.6,5,4.05,4,0,0,0.26635662,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",27
785-6778,448,0,495.6,99,55.45,467.8,440,44.76,464.9,76,7.44,46,4,4.54,0,0,0,0.400455724,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",20
787-7689,455,0,404.8,84,54.54,445,444,49.45,404.4,84,9.4,40.5,6,4.78,4,0,0,0.214482191,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",9
785-5755,56,0,497,440,55.49,444.8,404,48.94,445.5,94,40.44,40.6,6,4.86,4,0,0,0.351213502,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",68
757-9989,454,0,448,57,57.06,444.4,88,9.74,469.4,95,44.44,44.4,4,5.55,0,0,0,0.585401322,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",69
769-7567,54,0,464.8,98,48.04,449.9,96,49.54,467.5,408,7.55,44.8,4,4,4,0,0,0.411527104,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",26
955-9599,90,0,479.4,77,50.46,440.7,99,47.94,476.9,58,44.46,9.4,6,4.48,4,0,0,0.302724667,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",69
778-5957,87,44,444,445,56.58,480,444,45.5,454.5,84,6.05,40.6,5,4.86,0,0,0,0.21804965,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",11
759-6565,458,0,470.5,87,48.99,448.4,446,40.05,487.9,444,8.46,44.4,7,5.04,4,0,0,0.318454044,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",1
767-7595,79,0,405.7,445,54.97,444.5,408,48.45,446.4,406,40.47,6.7,48,4.84,4,0,0,0.115338558,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",10
779-7787,95,0,465.5,84,48.44,486.4,444,44.55,498.9,89,8.95,44.5,4,5.44,4,0,0,0.554738107,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",55
795-5979,447,0,444,400,57.57,460.7,445,45.66,455.4,96,40.49,6.8,4,4.84,4,0,0,0.303771392,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",44
777-5775,457,0,444.4,448,44.46,494,95,46.44,448.6,50,9.84,44.7,4,5.97,5,0,0,0.273079083,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",46
798-7977,97,0,454.6,407,45.77,455.4,96,45.44,440,444,40.8,44.7,4,5.97,4,0,0,0.455721573,['Basic Retention Offer'],"Day Mins (11.92%), Day Charge (10.35%), Night Charge (7.45%), Eve Charge (7.38%), Eve Mins (7.28%), Night Mins (6.77%), Intl Mins (6.57%), Intl Charge (6.32%), Day Calls (6.05%), Account Length (5.92%)",69
